Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/50V","C_1210_3225Metric",119.900000,-61.600000,270.000000,top
"C2","10uF/50V","C_1210_3225Metric",121.300000,-53.900000,0.000000,top
"D1","Diodex2_RRE04EA4D","Diode_SOT-25T",122.800000,-57.400000,90.000000,top
"J1","uUSBconecter_ZX62R-B-5P","USB_B_hirose_ZX62R-B-5P",132.600000,-82.800000,90.000000,top
"J3","Conn_01x06_Female","JST_NSH_SM06B_1mm_Horizonal",127.050000,-93.800000,90.000000,top
"R1","100k","R_0402_1005Metric",115.250000,-60.250000,180.000000,top
"R2","100k","R_0402_1005Metric",114.750000,-62.265000,90.000000,top
"U1","BD50C0AWFP","LDO_TO252-5",114.650000,-56.200000,90.000000,top
"U2","RK7002BMT-116","ROHM_MOSFET_SOT-23",113.000000,-62.550000,90.000000,top
"U3","Lazurite_920J","920J",107.000000,-90.000000,0.000000,top
