"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"U1";"LDO_TO252-5";1;"BD50C0AWFP";;;
2;"J2";"GB-50LBS-2P";1;"GB-TB-50LBS-2P";;;
3;"U2";"ROHM_MOSFET_SOT-23";1;"RK7002BMT-116";;;
4;"J1";"USB_B_hirose_ZX62R-B-5P";1;"uUSBconecter_ZX62R-B-5P";;;
5;"U3";"920J";1;"Lazurite_920J";;;
6;"D1";"Diode_SOT-25T";1;"Diodex2_RRE04EA4D";;;
7;"R1,R2";"R_0402_1005Metric";2;"100k";;;
8;"J4";"PSS-720102-05";1;"PSS-720102-05";;;
9;"J3";"FFC-FPC_5051100892";1;"5051100892_FFC-FPCconecter";;;
10;"C2,C1";"C_1210_3225Metric";2;"10uF/50V";;;
